name,ρ_β,ω_α,ω_β,ψ_α,ψ_β
Hwang Ui-jo,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Neco Williams,[ 30.25  40.25 104.5 ],1.0,178.0,3.0,176.0
Chris Wood,[167.25  50.25  45.5 ],68.0,199.0,9.0,258.0
Joe Worrall,[20.25 17.25 39.5 ],1.0,80.0,0.0,81.0
Ryan Yates,[32.25 29.25 15.5 ],1.0,80.0,4.0,77.0
Olu Aina,[20.25  2.25 16.5 ],1.0,42.0,1.0,42.0
George Shelvey,[ 0.25  0.25 51.5 ],0.0,56.0,0.0,56.0
Josh Powell,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Gonzalo Montiel,[ 8.25  6.25 22.5 ],0.0,41.0,2.0,39.0
Murillo Santiago Costa dos Santos,[32.25  0.25  3.5 ],0.0,40.0,2.0,38.0
Odysseas Vlachodimos,[ 5.25  0.25 29.5 ],0.0,39.0,0.0,39.0
Andrew Omobamidele,[12.25  4.25 56.5 ],1.0,76.0,0.0,77.0
NicolÃ¡s DomÃ­nguez,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Ibrahim SangarÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Divock Origi,[ 33.25  78.25 143.5 ],17.0,242.0,9.0,250.0
Jamie McDonnell,[ 0.25  0.25 18.5 ],0.0,23.0,0.0,23.0
Detlef Esapa Osong,[ 0.25  0.25 18.5 ],0.0,23.0,0.0,23.0
Joe Gardner,[ 0.25  0.25 18.5 ],0.0,23.0,0.0,23.0
Giovanni Reyna,[2.25 7.25 7.5 ],0.0,21.0,1.0,20.0
Matz Sels,[16.25  0.25  0.5 ],0.0,21.0,0.0,21.0
Rodrigo Duarte Ribeiro,[ 0.25  4.25 12.5 ],0.0,21.0,0.0,21.0
Auston Trusty,[28.25  4.25  6.5 ],0.0,43.0,0.0,43.0
Cameron Archer,[21.25 18.25 73.5 ],4.0,113.0,3.0,114.0
Mason Holgate,[113.25  23.25 168.5 ],3.0,306.0,7.0,302.0
James McAtee,[20.25 13.25 70.5 ],3.0,105.0,4.0,104.0
Anel AhmedhodÅ¾iÄ,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Jordan Amissah,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
George Baldock,[79.25  4.25 31.5 ],2.0,117.0,8.0,111.0
Chris Basham,[72.25  5.25 37.5 ],0.0,119.0,2.0,117.0
Jayden Bogle,[43.25  7.25 26.5 ],5.0,76.0,3.0,78.0
Rhian Brewster,[14.25 26.25 79.5 ],0.0,124.0,0.0,124.0
Ismaila Coulibaly,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
Adam Davies,[ 0.25  0.25 38.5 ],0.0,43.0,0.0,43.0
John Egan,[70.25  3.25 41.5 ],2.0,117.0,2.0,117.0
John Fleck,[56.25  9.25 49.5 ],5.0,114.0,5.0,114.0
Wes Foderingham,[29.25  1.25 46.5 ],0.0,81.0,0.0,81.0
Daniel Jebbison,[ 3.25  2.25 37.5 ],1.0,46.0,0.0,47.0
Max Lowe,[ 9.25  9.25 58.5 ],0.0,81.0,1.0,80.0
Oliver McBurnie,[51.25 45.25 92.5 ],13.0,180.0,7.0,186.0
Iliman Ndiaye,[ 0.25  1.25 54.5 ],0.0,60.0,0.0,60.0
Rhys Norrington-Davies,[ 2.25  3.25 33.5 ],0.0,43.0,0.0,43.0
Oliver Norwood,[76.25 21.25 55.5 ],2.0,155.0,3.0,154.0
Ben Osborn,[36.25 25.25 53.5 ],1.0,118.0,2.0,117.0
William Osula,[ 9.25 12.25 18.5 ],0.0,44.0,1.0,43.0
Jack Robinson,[47.25  4.25 39.5 ],1.0,94.0,3.0,92.0
Anis Slimane,[ 4.25 11.25 23.5 ],0.0,43.0,0.0,43.0
Yasser Larouci,[ 6.25  5.25 27.5 ],0.0,43.0,0.0,43.0
BÃ©nie TraorÃ©,[0.25 0.25 0.5 ],0.0,5.0,0.0,5.0
Vini de Souza Costa,[29.25  7.25  2.5 ],1.0,42.0,1.0,42.0
Femi Seriki,[ 0.25  1.25 39.5 ],0.0,45.0,0.0,45.0
